* Textfile zur Anzeige von Klartexten zu den entsprechenden
* RPS-Fehlermeldungen.
6204 "VARIABLENZUGRIFFSTASK: PV nicht gefunden"
6205 "VARIABLENZUGRIFFSTASK: VL nicht gefunden"
6206 "VARIABLENZUGRIFFSTASK: Zugriffsfehler"
6207 "VARIABLENZUGRIFFSTASK: ungÅltige System-Message bei SY_Event"
6208 "VARIABLENZUGRIFFSTASK: ungÅltige Verbindungsstate"
6209 "VARIABLENZUGRIFFSTASK: ungÅltiger MI-Code"
6210 "VARIABLENZUGRIFFSTASK: KA-Ptr = NULL"
6211 "VARIABLENZUGRIFFSTASK: ungÅltiger Basepointer"
6212 "VARIABLENZUGRIFFSTASK: keine gÅltige B&R-Adresse"
6213 "VARIABLENZUGRIFFSTASK: Index zeigt auf einen Descriptor"

/**************************/
/*   Programinvocation    */
/**************************/

6300 "PROGRAMINVOCATION: ungÅltigeR Event-Typ"
6301 "PROGRAMINVOCATION: ungÅltige System-Message"
6302 "PROGRAMINVOCATION: PI_Indexfehler"
6303 "PROGRAMINVOCATION: ungÅltiger MI-Code"
6304 "PROGRAMINVOCATION: ungÅltiges Objekt"
6305 "PROGRAMINVOCATION: ungÅltiger State des Objektes"
6306 "PROGRAMINVOCATION: KA-Ptr = NULL"
6307 "PROGRAMINVOCATION: keine Verbindung mehr frei"
6308 "PROGRAMINVOCATION: Fehler vom OS t_start"
6310 "KA-Ptr = NULL"
6311 "Event-Routine = NIL-Ptr"

/**************************/
/*     MP-Server          */
/**************************/

6350 "MPServer: Kein gÅltiger Auftragscode"
6351 "MPServer: Multiprozessor nicht vorhanden"
6352 "MPServer: falsche Auftrags-DatenlÑnge"
6353 "MP/PP: Timeout im Handshake zum Multiprozessor"
6354 "MP/PP-HSTC-Zyklus noch nicht fertig"
6355 "Keine MP/PP-HSTC am MP/PP installiert bzw. gestartet"

/**************************/
/*     DMEMORY            */
/**************************/

6380 "DMEM: Zu wenig temporÑrer Speicher"
6381 "DMEM: Kein Anwender-Flash vorhanden"
6382 "DMEM: Interner Fehler"
6383 "DMEM: Kein freier 64K Block im Anwender-Flash"
6384 "DMEM: Interner Fehler"
6385 "DMEM: CPU-Typ wird nicht unterstÅtzt"
6386 "DMEM: Interner Fehler"
6387 "DMEM: Interner Fehler"
6388 "DMEM: Defektes Datenmodul im DMEM-Bereich"
6389 "DMEM: ungÅltiges DMEM-Handle (NULL ?)"
6390 "DMEM: freier Bereich zu klein"
6391 "DMEM: Referenzmodul ID/Typ ungÅltig"
6392 "DMEM: Referenzmodul LÑnge verschieden"
6393 "DMEM: Modulname existiert bereits"
6394 "DMEM: Modul gelîscht"
6395 "DMEM: wird gerade bearbeitet"
6396 "DMEM: Data-Pointer in DMstore ist NULL"

/**************************/
/*   Startup              */
/**************************/

6400 "Checksum der Systemtabellenverwaltungstabelle ist falsch"
6401 "Checksum einer Systemtabelle ist falsch"
6402 "Warmstart: Checksum des B&R-Moduls ist falsch"
6403 "Zyklischer Betrieb: Checksum des B&R-Moduls ist falsch"
6404 "Kein Systemmanager installiert (wahrscheinlich Folgefehler)"
6405 "Kaltstart: Checksum des B&R-Moduls ist falsch"
6406 "RIO-Master meldet sich nicht"
6407 "Timeout bei RIO-Lifelist-Erstellung"
6408 "In der Systembustabelle steht ein ungÅltiger IO-Typ"
6409 "referenzierter RIO-Slave nicht vorhanden"
6410 "Leere RB-Section im Konfigurationsmodul"
6412 "Warning:Netzwerk im NWCONMOD konfiguriert, aber kein NW100/NW150 gesteckt"
6413 "Warning:unbekannter NW-Typ"
6414 "Warning:NW-Modulnummer 0, aber mehr als 1 NW-Karte konfiguriert"
6415 "Speicherverwaltung im Userram kaputt, mîgl. Batterieproblem"
6420 "Multiprozessor antwortet beim 1. Teil des Handshakes nicht"
6422 "Multiprozessor antwortet beim 2. Teil des Handshakes nicht"
6424 "MP: Timeout beim Warten auf CPU_INIT"
6426 "MP: Timeout beim Warten auf CPU_READY"
6428 "MP: Timeout beim Warten auf DPR-OK-Signal des MP-Server"
6429 "MP: Timeout beim Warten auf Hochlauf_OK von der RPSCPU"
6430 "MP-Warning: mehr als 1 HS-Taskkklasse konfiguriert"
6432 "MP-Warning: IRQ-Taskklasse konfiguriert"
6433 "AWS-PROM geÑndert, daher Kaltstart notwendig"
6434 "FIXSETUP : FIXRAM ist defekt, daher wird es gelîscht und ein Kaltstart ausgelîst"
6435 "FIXRAM auf dieser HW nicht unterstÅtzt"
6436 "Maximal 1 IRQ-Taskklasse mîglich"

/*****************************/
/*   Task-Task Kommunikation */
/*****************************/

6500 "TASK-TASK-KOMMUNIKATION: ungÅltiges Event"
6501 "TASK-TASK-KOMMUNIKATION: ungÅltiger MI-Code"
6502 "TASK-TASK-KOMMUNIKATION: ungÅltige Auftragsnummer"
6503 "TASK-TASK-KOMMUNIKATION: ungÅltige Komm. Kennung"
6504 "TASK-TASK-KOMMUNIKATION: ungÅltiger Datentyp"
6505 "TASK-TASK-KOMMUNIKATION: KA-Ptr = NULL"
6506 "TASK-TASK-KOMMUNIKATION: keine Verbind. mehr frei"
6507 "TASK-TASK-KOMMUNIKATION: ALI-Fehler"

/**************************************/
/*   Task-Task Kommunikation DEBUGGER */
/**************************************/

6520 "DEBUGGER: ungÅltiger MI-Code" Invalid MI-Code"
6521 "DEBUGGER: keine Verbindung mehr frei"
6522 "DEBUGGER: ungÅltiger TT-Message-Typ"
6523 "DEBUGGER: ungÅltiger Auftragsnummer"
6524 "DEBUGGER: ungÅltige Event Info"

/**************************************/
/*   Task-Task Kommunikation DBTRACER */
/**************************************/

6525 "DBTRACER: Funktion wird nicht unterstÅtzt"
6526 "DBTRACER: Debugtask ist auf der RPS nicht installiert"
6527 "DBTRACER: Task enthÑlt keine GOT Section"
6529 "DBTRACER: die maximale Breakpoint-Anzahl wurde erreicht (64)"
6530 "DBTRACER: Das angegebene B&R Modul ist nicht auf der RPS"
6531 "DBTRACER: Debugmodul ist im State DB_NONE"
6532 "DBTRACER: Debugmodul ist im State DB_RUNNING"
6533 "DBTRACER: Debugmodul ist im State DB_STOPPED"
6534 "DBTRACER: Fehler im Task-Start (SY_start) siehe Fehlermodul"
6535 "DBTRACER: Debugger ist im Isolierten Mode"
6536 "DBTRACER: Debugger ist im System Mode"
6537 "DBTRACER: Systemtask bzw. Usertask liegt in einem ROM"
6538 "DBTRACER: Start_offset liegt au·erhalb der Codesection"
6539 "DBTRACER: Offset liegt au·erhalb der Codesection"
6540 "DBTRACER: Interner Fehler - Falscher MI-Code"
6541 "DBTRACER: Interner Fehler - Falsche AuftragsNr"
6542 "DBTRACER: Interner Fehler - Falscher TaskTask-TYP"
6543 "DBTRACER: Interner Fehler - Falsches System Event"
6545 "DBTRACER: Interner Fehler - Falscher Status im Auftrag"
6546 "DBTRACER: Bus-Error beim Zugriff auf Daten"
6547 "DBTRACER: Adress-Error beim Zugriff auf Daten"

6551 "DBTRACER: Das Datenmodul mit der Trace Definition fehlt auf der RPS"
6552 "DBTRACER: Zuwenig Speicher verfÅgbar im Userbereich bzw. OS-Bereich"
6553 "DBTRACER: Variable auf der RPS nicht vorhanden"
6560 "DBTRACER: Modultyp wird nicht unterstÅtzt"
6563 "DBTRACER: Format Fehler in der Trace Definitionsdatei"
6564 "DBTRACER: Format Fehler in der Trace Datendatei"
6565 "DBTRACER: Falscher Task Typ (keine SPS-Task)"
6566 "DBTRACER: SPS-Task existiert auf der RPS nicht"
6567 "DBTRACER: Es wurde kein Trace definiert"
6568 "DBTRACER: Ein Trace ist fÅr diese SPS-Task bereits aktiv"
6569 "DBTRACER: Keine TracePV in der Trace Definitions Datei angegeben"
6570 "DBTRACER: Zu alte System Software (RPSSW < X2.43)"
6571 "DBTRACER: Anzahl der aktiven LineCoverage AuftrÑge Åberschritten"
6573 "DBTRACER: kein Line Coverage Auftrag definiert"
6574 "DBTRACER: Fehler aus GOT Funktion (siehe Fehlermodul)"
6575 "DBTRACER: LineCoverage Auftrag gestartet, Task aber nicht aktiviert"

/**************************************/
/*   PBIXMAN Fehler                   */
/**************************************/

6580 "PBIXMAN: Verwaltung zerstîrt"
6581 "PBIXMAN: Index nur im Bereich $100-$2FF gÅltig"
6582 "PBIXMAN: PV-Name ist zu lang (max. 32 Zeichen)"
6583 "PBIXMAN: undefinierter Index"
6584 "PBIXMAN: Datenmodul PBIXDATA fehlt"
6585 "PBIXMAN: PV-Index ist im Datenmodul PBIXDATA nicht definiert"
6586 "PBIXMAN: zuwenig freier Userspeicher"
6587 "PBIXMAN: Subindex nicht definiert (pbixdata)"

/********************************************/
/* Fehler die beim Spoolen auftreten kînnen */
/********************************************/

6600 "Der Masterspooler schickt kein Event an den Auftraggeber"
6610 "Auftrag fÅr den Masterspooler nicht implementiert"
6620 "Spoolen: Der Asic2 wird nicht fertig"
6621 "Spoolen: Timeout bei HW-Initialisierung nach IO-Exception"
6622 "IO-Exception beim Spoolen"
6623 "IO-Interrupt beim Spoolen"
6624 "AMA-Fehler beim Spoolen"
6625 "Timeout beim Spoolen eines Datenblocks"
6626 "Spool-UP nur in der Warmstart-Phase aufrufbar"
6627 "Spooler: Falscher IO-Typ"
6628 "Spooler: Systembusmodul nicht vorhanden"
6629 "Spooler: Remote-Master nicht vorhanden"
6630 "Spooler: Masterspooler nicht vorhanden"
6631 "Spooler: Timeout beim Remote-Spoolen"
6632 "Spooler: Maximalanzahl von behandelten IO-/SYS-Modulen Åberschritten"
6633 "Spooler: DatenlÑnge beim Aufruf von SPdirect ist zu gro·"
6634 "Spooler: Falsches Kommando beim Aufruf von SPdirect"
6635 "Spooler: Slave-Spooler 2005 meldet sich nicht bei Read"
6636 "Spooler: falscher Mode bei SPprio"
6637 "Spooler: ungÅltige Moduladresse"
6638 "Spooler: Spoolqueue nicht vorhanden, SPOOLER.BR nachladen"
6639 "Spooler: Modulident bei FUB-Aufruf ungÅltig"
6650 "Spooler: Slavespooler meldet sich nicht"
6652 "Spooler: Der Frame wird nicht fertig gesendet"
6654 "Spooler: Falsches Kommando an den Slavespooler"
6656 "Spooler: Modul mit ungÅltigem Modultyp"
6658 "Spooler: Falsche Modulinfo (Install und Start notwendig)"
6659 "Spooler: Die Queue fÅr das Nockenschaltwerk existiert nicht"
6660 "Spooler: Fehler, kein weiteres Spoolen mîglich"
6662 "Spooler: Timeout beim Warten auf den Hochlauf am IP"
6666 "Spooler-Info: Spooler arbeitet noch"
6699 "Spooler-Info: Timeout beim FUB-Aufruf"

/*****************************/
/*  Systemmanager Stackcheck */
/*****************************/

6700 "Stack der Task Nr.  0 zerstîrt"
6701 "Stack der Task Nr.  1 zerstîrt"
6702 "Stack der Task Nr.  2 zerstîrt"
6703 "Stack der Task Nr.  3 zerstîrt"
6704 "Stack der Task Nr.  4 zerstîrt"
6705 "Stack der Task Nr.  5 zerstîrt"
6706 "Stack der Task Nr.  6 zerstîrt"
6707 "Stack der Task Nr.  7 zerstîrt"
6708 "Stack der Task Nr.  8 zerstîrt"
6709 "Stack der Task Nr.  9 zerstîrt"

6710 "Stack der Task Nr. 10 zerstîrt"
6711 "Stack der Task Nr. 11 zerstîrt"
6712 "Stack der Task Nr. 12 zerstîrt"
6713 "Stack der Task Nr. 13 zerstîrt"
6714 "Stack der Task Nr. 14 zerstîrt"
6715 "Stack der Task Nr. 15 zerstîrt"
6716 "Stack der Task Nr. 16 zerstîrt"
6717 "Stack der Task Nr. 17 zerstîrt"
6718 "Stack der Task Nr. 18 zerstîrt"
6719 "Stack der Task Nr. 19 zerstîrt"

6720 "Stack der Task Nr. 20 zerstîrt"
6721 "Stack der Task Nr. 21 zerstîrt"
6722 "Stack der Task Nr. 22 zerstîrt"
6723 "Stack der Task Nr. 23 zerstîrt"
6724 "Stack der Task Nr. 24 zerstîrt"
6725 "Stack der Task Nr. 25 zerstîrt"
6726 "Stack der Task Nr. 26 zerstîrt"
6727 "Stack der Task Nr. 27 zerstîrt"
6728 "Stack der Task Nr. 28 zerstîrt"
6729 "Stack der Task Nr. 29 zerstîrt"

6800 "Stack einer HS-Taskklasse zerstîrt"

6810 "Userstack der Taskklasse im InitUP zerstîrt"
6811 "Supervisorstack der Taskklasse im InitUP zerstîrt"
6812 "Userstack der HS-Taskklasse im InitUP zerstîrt"
6813 "Supervisorstack der HS-Taskklasse im InitUP zerstîrt"
6814 "Userstack des OS-Task zerstîrt"
6815 "Supervisorstack des OS-Task zerstîrt"
6816 "Userstack der HS-Taskklasse zerstîrt"
6817 "Supervisorstack der HS-Taskklasse zerstîrt"

/*****************/
/*  Bootfehler   */
/*****************/

7000 "Fehler beim Suchen des Syncbytes des Bootmoduls"
7001 "Fehler beim Suchen des Inhaltsverzeichnismoduls"
7002 "Fehler beim Suchen eines B&R-Moduls mittels Inhvz-Modul"
7004 "Checksumme Åber die beiden Anker ist nicht korrekt"
7006 "Falsche Checksumm der PSOS- Node-ConfTab"
7007 "PSOS-Modul nicht gefunden oder falsche Checksum"
7008 "PROBE-Modul nicht gefunden oder falsche Checksum"
7009 "Modul $$probeIO nicht gefunden"
7010 "Warmstart: Checksumme der Basisverwaltungstabelle ist falsch"
7012 "Warmstart: Checksumme des Konfigurationsmoduls im RAM ist falsch"
7015 "HW-Traplibrary nicht gefunden"
7016 "SYS-Traplibrary nicht gefunden"
7017 "Install-Traplibrary nicht gefunden"
7018 "Fehler beim Installieren einer Erweiterungstraplibrary (RIO, ...)"
7019 "Konfigurationsmodul nicht gefunden"
7020 "Startupmodul nicht gefunden"
7022 "Die Checksumme des Fehlermoduls ist zerstîrt"
7023 "fataler Betriebssystem-Fehler, OS-Stackbereich zu klein"
7024 "Die Checksumme eines 1. Inhaltsverzeichnisses ist zerstîrt"
7025 "Betriebssystem kann nicht gestartet werden"

7030 "MemCard: keine MemCard mehr vorhanden, daher autmatischer Kaltstart "
7031 "MemCard: kein SRAM Typ"
7032 "MemCard: kein Flash Typ"
7033 "MemCard: falsche Manufacturer-ID"
7034 "MemCard: Schreibschutz aktiv"
7035 "MemCard: neue MemCard gesteckt, daher autmatischer Kaltstart"
7036 "MemCard ohne Attribut-Memory wird nicht unterstÅtzt"

7101 "UngÅliger Hochlaufgrund"
7102 "Checksumme des IVZ im Userrom1 kaputt"
7104 "Checksumme des IVZ im Userrom2 kaputt"
7108 "MP: Handshake mit der Hauptcpu funktionierte nicht, kein RECONFIG"
7110 "AWS wurde gewechselt, daher Kaltstart durchgefÅhrt"
7111 "Kein Warmstart nach DIAGNOSE mîglich, daher Kaltstart durchgefÅhrt"

/***************************/
/* Installfehler mit PPs   */
/***************************/

7120 "Prozessorglobaler Analogdatenbereich lokal am PP zu klein"
7121 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 1 zu klein"
7122 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 2 zu klein"
7123 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 3 zu klein"
7124 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 4 zu klein"
7125 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 5 zu klein"
7126 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 6 zu klein"
7127 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 7 zu klein"
7128 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 8 zu klein"
7129 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 9 zu klein"
7130 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 10 zu klein"
7131 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 11 zu klein"
7132 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 12 zu klein"
7133 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 13 zu klein"
7134 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 14 zu klein"
7135 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 15 zu klein"
7136 "Prozessorglobaler Analogdatenbereich am PP mit Moduladresse 16 zu klein"
7140 "Prozessorglobaler Digitaldatenbereich lokal am PP zu klein"
7141 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 1 zu klein"
7142 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 2 zu klein"
7143 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 3 zu klein"
7144 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 4 zu klein"
7145 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 5 zu klein"
7146 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 6 zu klein"
7147 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 7 zu klein"
7148 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 8 zu klein"
7149 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 9 zu klein"
7150 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 10 zu klein"
7151 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 11 zu klein"
7152 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 12 zu klein"
7153 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 13 zu klein"
7154 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 14 zu klein"
7155 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 15 zu klein"
7156 "Prozessorglobaler Digitaldatenbereich am PP mit Moduladresse 16 zu klein"

/************************/
/*  SYS_reset EintrÑge  */
/************************/

7401 "WARNING: RPS-Reset: Warmstart Åber Tasten bzw. SchlÅsselschalter"
7402 "WARNING: RPS-Reset: Kaltstart Åber Tasten
7404 "WARNING: RPS-Reset: Reset/Halt Åber Tasten bzw. SchlÅsselschalter"
7408 "WARNING: RPS-Reset: Reconfig Åber Tasten
7411 "WARNING: RPS-Reset: Warmstart Åber SYS_reset FUB"
7412 "WARNING: RPS-Reset: Kaltstart Åber SYS_reset FUB"
7414 "WARNING: RPS-Reset: Reset/Halt Åber SYS_reset FUB"
7418 "WARNING: RPS-Reset: Reconfig Åber SYS_reset FUB"
7421 "WARNING: RPS-Reset: Warmstart Åber die Kommunikation (PG)"
7422 "WARNING: RPS-Reset: Kaltstart Åber die Kommunikation (PG)"
7424 "WARNING: RPS-Reset: Reset/Halt Åber die Kommunikation (PG)"
7426 "WARNING: RPS-Reset: Warmstart des PP beim Systemhochlauf"
7427 "WARNING: RPS-Reset: Kaltstart des PP beim Systemhochlauf"
7428 "WARNING: RPS-Reset: Reconfig Åber die Kommunikation (PG)"
7429 "WARNING: RPS-Reset: Reset/Halt des PP beim Systemhochlauf"
7432 "WARNING: RPS-Reset: Diagnose Åber Tasten
7433 "WARNING: RPS-Reset: Reconfig des PP beim Systemhochlauf"
7442 "WARNING: RPS-Reset: Diagnose Åber SYS_reset FUB"
7452 "WARNING: RPS-Reset: Diagnose Åber die Kommunikation (PG)"
7457 "WARNING: RPS-Reset: Diagnose des PP beim Systemhochlauf"
7464 "WARNING: RPS-Reset: Errormode Åber Tasten
7474 "WARNING: RPS-Reset: Errormode Åber SYS_reset FUB"
7484 "WARNING: RPS-Reset: Errormode Åber die Kommunikation (PG)"
7489 "WARNING: RPS-Reset: Errormode des PP beim Systemhochlauf"

7498 "WARNING: RPS-Reset: Warmstart wird nicht unterstÅtzt -> lokaler Kaltstart"
7499 "WARNING: RPSSW-Update durchgefÅhrt"

/************************/
/*  BT-Library Fehler   */
/************************/

7500 "BT_LIB: falscher Identifier"
7501 "BT_LIB: BT-Ctrl nicht angeschlossen"
7502 "BT_LIB: auf GETKEY kann nicht gewartet werden"
7503 "BT_LIB: Allgemeines Fehlerflag"
7504 "BT_LIB: Keine Kommunikation zum ausgewÑhlten BT"
7505 "BT_LIB: Unmîgliches Fenster"
7506 "BT_LIB: RAM-Fehler"
7507 "BT_LIB: ROM-Fehler"
7508 "BT_LIB: Display nicht angeschlossen"
7509 "BT_LIB: Falsches Display"
7510 "BT_LIB: Falsche Konfiguration"
7511 "BT_LIB: Tastatur defekt"
7512 "BT_LIB: Unmîgliche Wartezeit Repeatmodus"
7513 "BT_LIB: Unmîgliche Repeatfrequenz"
7514 "BT_LIB: Blinkendes Zeichen auszerhalb Fenster"
7550 "BT_LIB: Tastenblock nicht vorhanden"
7551 "BT_LIB: ungÅltiger Knoten fÅr Geniustreiber"
7552 "BT_LIB: Fehler beim GENI Board"
7560 "BT_LIB: Kein Tongle fÅr AB-Treiber"

/***************************/
/*    BTINTER Fehler       */
/***************************/

7570 "BT-Interpreter: Zuviele PV's in einem BILD"
7571 "BT-Interpreter: Textmodul nicht vorhanden"
7572 "BT-Interpreter: Bitmaps parametriert, aber Modul nicht vorhanden"
7573 "BT-Interpreter: Buffer fÅr Drucker zu klein"

/***************************/
/*    BT-Server Fehler     */
/***************************/

7600 "BTSERV: inkorrekte Tableauanzahl in Konfigmodul"
7601 "BTSERV: inkorrekter Name in Konfigmodul"
7602 "BTSERV: inkorrekter Devicename in Konfigmodul"
7603 "BTSERV: inkorrekter Devicetyp in Konfigmodul"
7604 "BTSERV: inkorrekte Displaynummer in Konfigmodul"
7605 "BTSERV: inkorrekte Tastenanzahl in Konfigmodul"
7606 "BTSERV: inkorrekte Zeilenanzahl in Konfigmodul"
7607 "BTSERV: inkorrekte Spaltenanzahl in Konfigmodul"
7608 "BTSERV: inkorrekte Bilderanzahl in Konfigmodul"
7609 "BTSERV: inkorrekter Versionsname in Konfigmodul"

7650 "BTSERV C200 : Fehler bei EV_receive"
7651 "BTSERV C200 : Tasten Puffer leer"

/**************************************/
/* Fehler der Rezepttask (Panelware)  */
/**************************************/

7700 "REZEPT: Kein Rezept-Datenmodul im Flash gefunden"
7701 "REZEPT: Zuwenig Rezept-RAM verfÅgbar"
7702 "REZEPT: Kein Rezept-Datenmodul im Flash gefunden"
7703 "REZEPT: Index-Fehler im Rezept-DS"
7704 "REZEPT: Fehler beim Schreiben in das Rezept-Datenmodul"
7705 "REZEPT: Interne Rezept-Status-PV fehlt"
7706 "REZEPT: falscher Pfad"
7707 "REZEPT: Rezeptelement im Modul nicht gefunden"

/*********************************************/
/*    Fehler der KonsistenzprÅfung von PV's  */
/*********************************************/

7980 "PV-Inkonsistenz: Descriptoren stimmen nicht Åberein"
7981 "PV-Inkonsistenz: BytelÑnge stimmt nicht Åberein"
7982 "PV-Inkonsistenz: I/O-Typ stimmt nicht Åberein"
7983 "PV-Inkonsistenz: Offset-öberschneidung"
7984 "PV-Inkonsistenz: I/O-Doppeldefinitionen stimmen nicht Åberein"
7985 "PV-Inkonsistenz: Unterschiedliches IO-Modul"
7986 "PV-Inkonsistenz: referenziertes IO-Modul ist nicht vorhanden"
7987 "PV-Inkonsistenz: keine Hardwarekonfiguration, neue IO-Library laden"
7988 "PV-Inkonsistenz: Keine identische IO-PV gefunden"
7989 "PV-Inkonsistenz: Datentypen stimmen nicht Åberein"

/***************************/
/* Installationsfehler     */
/***************************/

8001 "Es wird versucht eine RPS-Task fÅr eine nicht konfigurierte Taskklasse zu installieren"
8002 "Der Stackbedarf der RPS-Task Åberschreitet den fÅr die zugehîrige Taskklasse reservierten Stack"
8003 "Die geforderte Zykluszeit der RPS-Task ist kleiner als die Zykluszeit der assoziierten Taskklasse"
8004 "Der von der RPS-Task geforderte TC-globale Analogdatenbereich ist grî·er als der konfigurierte Bereich der zugehîrigen Taskklasse"
8005 "Der von der RPS-Task geforderte TC-globale Digitaldatenbereich ist grî·er als der konfigurierte Bereich der zugehîrigen Taskklasse"
8006 "Fehler beim Speicher allokieren"
8007 "Kein Platz mehr in der Systemtabelle "
8008 "Die geforderte  IO-DatenlÑnge der RPS-Task ist zu gro·.Als Referenz gilt die IO-DatenlÑnge der 1. installierten RPS-Task"
8009 "Install-Status eines B&R-Moduls ist falsch"
8010 "Pointer zeigt nicht auf ein gÅltiges Objekt"
8011 "Deinstall einer laufenden RPS-Task"
8012 "Der von der RPS-Task geforderte RPS-globale Analogdatenbereich ist grî·er als der konfigurierte Bereich"
8013 "Der von der RPS-Task geforderte RPS-globale Digitaldatenbereich ist grî·er als der konfigurierte Bereich"
8014 "Anzahl der RPSIO-Typen bei Taskklassen zu klein konfiguriert"
8015 "Falscher Modultyp beim Installieren einer Systemtask oder Usertask"
8016 "referenzierte Systembus-Karte fehlt"
8017 "variabler PB-IX nicht konfiguriert"
8018 "IRQ-Task auf 2005-Systemen nicht unterstÅtzt"
8019 "IRQ-Task auf 2005-Systemen nicht unterstÅtzt"
8020 "Checksumme eines B&R-Moduls ist falsch"
8021 "Der B&R-Modul existiert bereits im System"
8022 "Systemtabelle ist voll"
8023 "Pointer zeigt nicht auf ein B&R-Modul"
8024 "2010-CPU-Version nicht I/O-interruptfÑhig"
8025 "Kein gepackter Bit-Bereich verfÅgbar"
8026 "Init-Values fÅr dynamische PVs werden nicht unterstÅtzt"
8027 "Falscher PP-Typ auf angegebener Moduladresse oder PP-Nummer"
8028 "Falsches PV Initialisierungsformat"

8030 "Nicht implementierte Trapnummer"
8031 "Der Typ des B&R-Moduls ist nicht fÅr ein Trapinstall definiert"
8032 "Die Version der Hardwaretraplibrary pa·t nicht zur CPU-Version"
8033 "Zuviele Erweiterungs-Traplibraries installiert"
8034 "Versions-Inkonsistenz BURTRAP.br"
8035 "Funktion wird nur auf einem PP unterstÅtzt"

8040 "Es existiert bereits eine AVT-Library mit dem selben Namen"
8041 "Zuwenig AVT-EintrÑge konfiguriert (Konfiguration)"

8045 "Die Versionsnummer des Konfigurationsmoduls stimmt nicht mit der aktuellen Versionsnummer Åberein"
8046 "Kein gÅltiger Typ ??"
8048 "Falscher INSTALL-Mode"
8050 "Debugtask fÅr Interrupttaskklasse oder Exceptiontaskklasse"
8052 "Der von der RPS-Task geforderte IO-Controllertyp existiert nicht"
8054 "Der von der RPS-Task geforderte IO-Controllertyp existiert nicht"
8056 "ungÅltige IO-Controller-ID"

8060 "Es wird versucht einen Handler fÅr den Interrupt eines nicht existierende Systembusmoduls zu installieren"
8062 "Anzahl der PV-Tabellen zu klein"
8063 "Schaufelprozessor nicht vorhanden (EX350, CP10x, CP15x, CP200, CP210)"

8069 "Kein Device-Eintrag in pSOS Tabelle"
8070 "Es wird versucht einen nicht konfigurierten Devicetreiber zu installieren."
8071 "Kein Buffer verfÅgbar ??"
8072 "Falscher Buffer Åbergeben ??"
8073 "Kommando wird nicht unterstÅtzt ??"
8074 "Device existiert nicht ??"
8075 "Der Systemmanager beauftragt den RIO-Master nicht"
8076 "nicht genug interner Speicher ?? "
8077 "nicht genug interner Speicher"
8078 "öbertragung aktiv"
8079 "Device Receivefehler"

8080 "RIO-Master wird mit Auftragsliste konfigurieren nicht fertig"
8081 "Fehler beim  IO-Transfer auf die Remotestation.
8082 "Fehler beim Init-Remode-IO. Der RIO-Master steckt nicht auf der angegebenen Moduladresse"
8083 "RIO in dieser HS-Taskklasse nicht zulÑssig"
8084 "RIO-Erstinitialisierung nach 40 Sekunden nicht fertig"
8085 "RIO Speicherverwaltung im Hochlauf nicht initialisierbar"
8090 "RIO-Master wird mit dem Outputkopieren nicht fertig"
8092 "Interrrupttask oder Exceptiontask fÅr Debugger nicht erlaubt"
8095 "Fehler im Konfigmodul HS-Section pa·t  nicht mit RK-Section zusammen"
8096 "maximale Anzahl von Interrupttasks/Exceptiontasks Åberschritten"
8097 "mehr als 1 Exceptiontaskklasse konfiguriert"
8098 "IRQ-Task fÅr IO-Modul oder EXC-Task fÅr Exception-Nr. bereits vorhanden"
8099 "Install mi·glÅckt"

/***************************/
/* Deinstallationsfehler   */
/***************************/

8100 "Entfernen eines B&R-Moduls: Es existiert noch ein PI-Objekt fÅr diesen Modul"
